CELL_LINE	COMBINATION_ID	PREDICTION
CAMA-1	ADAM17.AKT	-16.3961206176944
HCC1395	ADAM17.AKT	-3.81956095028993
Hs-578-T	ADAM17.AKT	-8.26772099816595
MDA-MB-157	ADAM17.AKT	10.0975035481106
MDA-MB-468	ADAM17.AKT	-9.54364999086025
MFM-223	ADAM17.AKT	-11.5457266016702
CAL-120	ADAM17.BCL2_BCL2L1	4.28213204596954
CAL-51	ADAM17.BCL2_BCL2L1	4.69242388311759
HCC1187	ADAM17.BCL2_BCL2L1	-3.04372181195849
HCC1428	ADAM17.BCL2_BCL2L1	3.29842611007527
HCC38	ADAM17.BCL2_BCL2L1	3.34393689432157
MDA-MB-453	ADAM17.BCL2_BCL2L1	16.141681020223
M14	ADAM17.BCL2_BCL2L1	9.77508571216606
BT-20	ADAM17.FGFR	8.25815110441468
CAL-51	ADAM17.FGFR	-1.01667321145803
CAMA-1	ADAM17.FGFR	4.14800115158194
HCC1428	ADAM17.FGFR	-3.2913164547961
HCC1806	ADAM17.FGFR	-4.33639207243637
MFM-223	ADAM17.FGFR	-21.9835615982991
BT-20	ADAM17.MAP2K_1	6.27129540604995
HCC1806	ADAM17.MAP2K_1	-11.0612914233974
HCC70	ADAM17.MAP2K_1	-6.95974101977669
MDA-MB-231	ADAM17.MAP2K_1	4.24752682424032
MDA-MB-468	ADAM17.MAP2K_1	-8.82104370368999
MFM-223	ADAM17.MAP2K_1	16.2972314695814
M14	ADAM17.MAP2K_1	4.84189419503253
CAL-148	ADAM17.MTOR_1	-17.3079275456498
CAL-51	ADAM17.MTOR_1	5.61626812528
HCC1937	ADAM17.MTOR_1	9.86288431134593
HCC70	ADAM17.MTOR_1	-5.16566536198051
Hs-578-T	ADAM17.MTOR_1	-2.98453607451745
MDA-MB-468	ADAM17.MTOR_1	-2.1197275673475
BT-20	ADAM17.PIK3C	34.3560059045135
CAL-51	ADAM17.PIK3C	15.1947417206338
HCC1395	ADAM17.PIK3C	30.6277575970409
HCC1428	ADAM17.PIK3C	3.22456490927529
HCC1937	ADAM17.PIK3C	11.9520676923427
MDA-MB-436	ADAM17.PIK3C	31.1530908312053
BT-20	ADAM17.PIK3CB_PIK3CD	0.144293126715871
CAMA-1	ADAM17.PIK3CB_PIK3CD	-13.925625663583
DU-4475	ADAM17.PIK3CB_PIK3CD	-5.20837001482365
HCC1937	ADAM17.PIK3CB_PIK3CD	6.60602793943316
HCC70	ADAM17.PIK3CB_PIK3CD	-3.39171325871228
MDA-MB-231	ADAM17.PIK3CB_PIK3CD	3.6361275541611
MDA-MB-453	ADAM17.PIK3CB_PIK3CD	-2.59720748521182
BT-474	AKT.AKT_1	19.9578247695287
HCC1419	AKT.AKT_1	29.9173940258526
HCC1500	AKT.AKT_1	9.87827530465431
MCF7	AKT.AKT_1	15.5612515692971
MDA-MB-361	AKT.AKT_1	9.18795640554194
647-V	AKT.ATR_4	8.08325188910149
UM-UC-3	AKT.ATR_4	-1.40245007256021
VM-CUB-1	AKT.ATR_4	-7.88782659987085
NCI-H1299	AKT.CSNK2A1_2	10.6067751754239
NCI-H1563	AKT.CSNK2A1_2	7.36152407107983
NCI-H1975	AKT.CSNK2A1_2	4.49437666146393
NCI-H2170	AKT.CSNK2A1_2	11.5466071360841
NCI-H3122	AKT.CSNK2A1_2	6.41672607944628
NCI-H838	AKT.CSNK2A1_2	17.405932751427
BT-474	AKT.Chloroquine	15.8202642658899
MDA-MB-361	AKT.Chloroquine	1.35426698568028
HT-1197	AKT.ERBB	10.3824346450937
22RV1	AKT.ERBB	8.08849497641893
TCCSUP	AKT.ERBB	-5.74196901477911
HT-1197	AKT.FGFR	17.9253695594577
HT-1376	AKT.FGFR	18.2375235303882
647-V	AKT.HDAC_4	-7.17865527421973
BT-474	AKT.HDAC_4	5.81953806348193
HT-1197	AKT.HDAC_4	-13.51291393577
MCF7	AKT.HDAC_4	-0.706089647127987
T47D	AKT.HDAC_4	-1.23908006873901
BT-549	AKT.PIK3CA_4	-0.0860209198689201
HCC1143	AKT.PIK3CA_4	-5.82048980080686
HCC1395	AKT.PIK3CA_4	4.14407595335274
HCC1806	AKT.PIK3CA_4	2.60250184646682
HCC70	AKT.PIK3CA_4	-4.89810909569352
Hs-578-T	AKT.PIK3CA_4	8.12228853836685
MDA-MB-468	AKT.PIK3CA_4	-4.35447206981205
DU-4475	AKT.PIK3C_2	-13.0955583243384
HCC1395	AKT.PIK3C_2	-0.99486163911644
MDA-MB-157	AKT.PIK3C_2	23.7653709835641
MDA-MB-231	AKT.PIK3C_2	-7.25854452701143
MDA-MB-436	AKT.PIK3C_2	5.72967650185445
MFM-223	AKT.PIK3C_2	10.2326765713358
HT-1376	AKT.TNF	30.9333556343255
TCCSUP	AKT.TNF	18.8907916247572
VM-CUB-1	AKT.TNF	25.9110836183287
BT-549	AKT.AKT_1	1.30979000655644
DU-4475	AKT.AKT_1	6.86219579307329
HCC1143	AKT.AKT_1	-4.71567783969877
HCC1395	AKT.AKT_1	9.2203086812843
CAL-148	AKT_1.PIK3C	29.4605069670158
HCC1143	AKT_1.PIK3C	18.5954715978972
HCC1395	AKT_1.PIK3C	32.7708235290705
HCC1428	AKT_1.PIK3C	22.3383298516351
HCC1937	AKT_1.PIK3C	27.0454762197263
HCC38	AKT_1.PIK3C	31.907262005652
Hs-578-T	AKT_1.PIK3C	24.9509962805929
MDA-MB-436	AKT_1.PIK3C	49.3969335149427
BT-549	AKT_1.PIK3CB_PIK3CD	11.3805542803901
CAL-120	AKT_1.PIK3CB_PIK3CD	14.1381515787935
HCC1187	AKT_1.PIK3CB_PIK3CD	9.09923769070284
HCC1395	AKT_1.PIK3CB_PIK3CD	18.7787761718488
HCC1937	AKT_1.PIK3CB_PIK3CD	15.8351042620834
HCC38	AKT_1.PIK3CB_PIK3CD	15.8487051325287
Hs-578-T	AKT_1.PIK3CB_PIK3CD	15.3205617395224
BT-20	AKT_1.PIK3C_2	34.0700444373824
BT-549	AKT_1.PIK3C_2	12.1062174862513
CAL-120	AKT_1.PIK3C_2	10.0842703717063
CAMA-1	AKT_1.PIK3C_2	34.6610275657027
HCC1937	AKT_1.PIK3C_2	14.3725321604629
MDA-MB-453	AKT_1.PIK3C_2	29.2015474060992
M14	AKT_1.PIK3C_2	20.5584694051554
CAL-148	AKT_SGK.BCL2_BCL2L1	14.8471095432218
CAL-51	AKT_SGK.BCL2_BCL2L1	10.9754579864419
DU-4475	AKT_SGK.BCL2_BCL2L1	-0.64971415040748
HCC1395	AKT_SGK.BCL2_BCL2L1	15.5779383449372
HCC1937	AKT_SGK.BCL2_BCL2L1	9.12102695786179
MDA-MB-231	AKT_SGK.BCL2_BCL2L1	4.05492915630846
MFM-223	AKT_SGK.BCL2_BCL2L1	25.8948190625585
CAMA-1	AKT_SGK.FGFR	16.7596429577179
HCC1937	AKT_SGK.FGFR	3.23522445641118
HCC38	AKT_SGK.FGFR	9.72507827920257
HCC70	AKT_SGK.FGFR	0.272350372616453
MDA-MB-157	AKT_SGK.FGFR	35.7487409942167
MFM-223	AKT_SGK.FGFR	11.7027177711015
M14	AKT_SGK.FGFR	12.6738747575749
CAL-120	AKT_SGK.MAP2K_1	10.3521010734308
HCC1143	AKT_SGK.MAP2K_1	7.53015949279303
HCC1187	AKT_SGK.MAP2K_1	4.9795304433246
HCC1428	AKT_SGK.MAP2K_1	9.44922652961468
HCC1806	AKT_SGK.MAP2K_1	21.6681320444025
MDA-MB-157	AKT_SGK.MAP2K_1	49.2231691714411
MDA-MB-468	AKT_SGK.MAP2K_1	4.02633719789653
CAL-148	AKT_SGK.PIK3C	11.8058823134948
CAMA-1	AKT_SGK.PIK3C	25.4208697873322
HCC1143	AKT_SGK.PIK3C	4.23804323586133
HCC1395	AKT_SGK.PIK3C	15.5932678251891
HCC38	AKT_SGK.PIK3C	7.96032472388036
MDA-MB-436	AKT_SGK.PIK3C	35.4534734354753
MDA-MB-453	AKT_SGK.PIK3C	23.1862401561568
BT-549	AKT.ALK_IGFR	19.9903386388275
CAL-51	AKT.ALK_IGFR	21.1243343438308
HCC1143	AKT.ALK_IGFR	4.32302118460008
HCC1187	AKT.ALK_IGFR	17.3783571832228
HCC1428	AKT.ALK_IGFR	8.9159418642569
HCC1806	AKT.ALK_IGFR	28.5776610703467
MFM-223	AKT.ALK_IGFR	20.6444310003865
BT-20	AKT_1.ALK_IGFR	25.7407551862091
HCC1187	AKT_1.ALK_IGFR	2.23491097149175
HCC1806	AKT_1.ALK_IGFR	17.341439235398
HCC38	AKT_1.ALK_IGFR	4.56307288275483
Hs-578-T	AKT_1.ALK_IGFR	-0.0452141945179889
MDA-MB-157	AKT_1.ALK_IGFR	30.6396975788031
MDA-MB-436	AKT_1.ALK_IGFR	21.0066198085363
BT-20	ALK_IGFR.MTOR_1	39.0855365892085
CAL-148	ALK_IGFR.MTOR_1	32.029431486018
DU-4475	ALK_IGFR.MTOR_1	6.51166905637336
HCC1143	ALK_IGFR.MTOR_1	15.3805334587328
HCC1937	ALK_IGFR.MTOR_1	20.677045849165
MDA-MB-157	ALK_IGFR.MTOR_1	41.9512897810839
MFM-223	ALK_IGFR.MTOR_1	5.21246884082472
BT-20	ALK_IGFR.PIK3CB_PIK3CD	39.0855365881526
CAMA-1	ALK_IGFR.PIK3CB_PIK3CD	31.4535608621293
DU-4475	ALK_IGFR.PIK3CB_PIK3CD	6.51166905661616
HCC1187	ALK_IGFR.PIK3CB_PIK3CD	24.3402296979054
HCC1806	ALK_IGFR.PIK3CB_PIK3CD	26.4832207806771
HCC1937	ALK_IGFR.PIK3CB_PIK3CD	20.6770458500856
BT-20	AKT.ATR_4	21.5660670199136
CAL-120	AKT.ATR_4	0.421829165225533
CAL-51	AKT.ATR_4	2.50624792693992
CAMA-1	AKT.ATR_4	4.49105752809869
HCC1187	AKT.ATR_4	1.65747803178172
HCC1395	AKT.ATR_4	15.806045849708
HCC1428	AKT.ATR_4	-7.21723075898442
BT-20	ATR_4.BCL2_BCL2L1	1.00415506748481
BT-549	ATR_4.BCL2_BCL2L1	-6.5386857482899
CAL-148	ATR_4.BCL2_BCL2L1	-0.39291609169784
DU-4475	ATR_4.BCL2_BCL2L1	-2.05559643440303
HCC1806	ATR_4.BCL2_BCL2L1	-15.0296003203734
HCC1937	ATR_4.BCL2_BCL2L1	-3.63612565126701
MDA-MB-157	ATR_4.BCL2_BCL2L1	-3.18381059517412
MDA-MB-436	ATR_4.BCL2_BCL2L1	-3.54717046989979
MFM-223	ATR_4.BCL2_BCL2L1	5.49519329962478
CAL-120	ATR_4.MAP2K_1	0.60324367592904
CAMA-1	ATR_4.MAP2K_1	4.27739610327835
HCC1187	ATR_4.MAP2K_1	18.391907763777
HCC1395	ATR_4.MAP2K_1	15.3393077742616
MDA-MB-231	ATR_4.MAP2K_1	26.4986032562865
BT-20	ATR_4.MTOR_1	-11.2843392915826
BT-549	ATR_4.MTOR_1	-24.3613862184961
CAL-148	ATR_4.MTOR_1	-13.3469278664218
HCC1143	ATR_4.MTOR_1	-22.0917275940919
