V1	SYNERGY
22RV1	-8.601674
647-V	13.11811
A549	16.0891365
BFTC-905	11.37035
BT-20	19.64844
BT-474	10.44146
BT-549	3.142523
C32	1.7880765
CAL-120	6.416326
CAL-148	5.9557435
CAL-51	7.8161
Calu-3	-5.343214
Calu-6	6.415182
CAMA-1	7.759386
COLO-205	14.148705
DMS-114	7.06391
DU-4475	3.1090115
EVSA-T	-1.8599373
HCC1143	4.043294
HCC1187	5.609686
HCC1395	6.107714
HCC1419	22.64486
HCC1428	-0.35560735
HCC1500	12.50417
HCC1569	14.6339
HCC1806	4.708188
HCC1937	11.505935
HCC1954	47.53731
HCC38	6.6035695
HCC70	2.215508
HCT-116	-12.81939
Hs-578-T	7.939837
HT-1197	5.875734
HT-1376	3.442301
HT-29	2.5280455
J82	13.762865
KATOIII	5.2905175
KMS-11	-7.6552874
KU-19-19	2.174799
LS-513	10.56
M14	10.801471
MCF7	16.893755
MDA-MB-157	17.86787
MDA-MB-175-VII	12.39044
MDA-MB-231	16.038475
MDA-MB-361	14.36195
MDA-MB-415	-1.782822
MDA-MB-436	14.12784
MDA-MB-453	13.03987
MDA-MB-468	-0.70973965
MFM-223	32.51477
NCI-H1299	21.462205
NCI-H1437	4.970321
NCI-H1563	8.707077
NCI-H1703	38.59413
NCI-H1793	5.26699
NCI-H1975	25.595175
NCI-H2085	13.22047
NCI-H2170	19.506195
NCI-H2228	25.39046
NCI-H226	9.961978
NCI-H2291	24.771645
NCI-H23	18.333965
NCI-H3122	21.231015
NCI-H358	5.213011
NCI-H520	28.307265
NCI-H522	24.89046
NCI-H747	27.3109
NCI-H838	9.711389
NCI-SNU-16	23.57056
RKO	39.54162
RT4	16.724933
SW48	-3.1535635
SW620	2.635467
SW780	26.940805
SW837	33.86636
SW900	25.627885
SW948	-2.320043
T-24	16.04482
T47D	12.38745
TCCSUP	4.402312
UACC-812	-1.447185
UM-UC-3	5.142114
VCaP	0.2301588
VM-CUB-1	11.4942596083333
