"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"22RV1",0.142857142857143,0.0991253644314869,0.26530612244898,0.0408163265306122,0.0174927113702624,0.0233236151603499,0.0116618075801749,0.0087463556851312,0.0087463556851312,0,0.00291545189504373,0,0,0,0.00583090379008746,0.244897959183673,0.122448979591837,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0
"647-V",0.123152709359606,0.041871921182266,0.204433497536946,0.108374384236453,0.0517241379310345,0.0123152709359606,0.0123152709359606,0.00985221674876847,0.00738916256157635,0,0.00738916256157635,0.00738916256157635,0.00246305418719212,0.00246305418719212,0.0147783251231527,0.100985221674877,0.152709359605911,0.0541871921182266,0.0197044334975369,0,0.00246305418719212,0,0,0.00246305418719212,0,0,0,0.00246305418719212,0.0344827586206897,0.0147783251231527,0.00738916256157635,0,0,0,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A549",0.19281045751634,0.0326797385620915,0.179738562091503,0.117647058823529,0.0751633986928105,0.0294117647058824,0.0163398692810458,0.00980392156862745,0.00980392156862745,0.0130718954248366,0.00326797385620915,0.0065359477124183,0,0,0.0065359477124183,0.0522875816993464,0.15359477124183,0.0294117647058824,0.00326797385620915,0,0.00326797385620915,0,0,0,0,0,0,0,0.042483660130719,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0,0
"BFTC-905",0.119891008174387,0.0626702997275204,0.17983651226158,0.174386920980926,0.0817438692098093,0.0245231607629428,0.0108991825613079,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0.0572207084468665,0.160762942779292,0.0163487738419619,0.0108991825613079,0,0,0.00272479564032698,0.00544959128065395,0,0,0,0,0,0.0354223433242507,0.0272479564032698,0.0163487738419619,0,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,0,0
"BT-20",0.112745098039216,0.117647058823529,0.223039215686275,0.134803921568627,0.0637254901960784,0.017156862745098,0.00735294117647059,0,0,0,0,0,0,0,0,0.0563725490196078,0.117647058823529,0.0735294117647059,0.0196078431372549,0.00735294117647059,0,0,0,0,0,0,0,0,0.0220588235294118,0.0147058823529412,0.00490196078431373,0.00490196078431373,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT-474",0.063953488372093,0.0271317829457364,0.131782945736434,0.063953488372093,0.0542635658914729,0.0213178294573643,0.00775193798449612,0.00193798449612403,0.00387596899224806,0.00193798449612403,0,0,0.00193798449612403,0,0,0.11046511627907,0.203488372093023,0.0658914728682171,0.0348837209302326,0.0155038759689922,0.00387596899224806,0.00387596899224806,0.00581395348837209,0.00775193798449612,0.00387596899224806,0,0.00193798449612403,0,0.0736434108527132,0.0290697674418605,0.0174418604651163,0.00775193798449612,0.00968992248062015,0.00387596899224806,0.00387596899224806,0.00193798449612403,0.00193798449612403,0.00193798449612403,0.00387596899224806,0.00581395348837209,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT-549",0.229357798165138,0.0642201834862385,0.174311926605505,0.178899082568807,0.123853211009174,0.0137614678899083,0.00917431192660551,0,0.00458715596330275,0.00458715596330275,0,0,0,0,0,0.00917431192660551,0.0412844036697248,0.055045871559633,0.00917431192660551,0,0,0,0,0,0,0,0,0,0.055045871559633,0.0229357798165138,0,0,0,0,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C32",0.0963391136801541,0.179190751445087,0.215799614643545,0.0366088631984586,0.0173410404624277,0.0134874759152216,0.00770712909441233,0.00578034682080925,0.00385356454720617,0.00192678227360308,0.00192678227360308,0,0,0.00192678227360308,0.00192678227360308,0.267822736030829,0.0886319845857418,0.0327552986512524,0.0269749518304432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAL-120",0.0815899581589958,0.0376569037656904,0.129707112970711,0.140167364016736,0.0920502092050209,0.0271966527196653,0.0125523012552301,0.00836820083682008,0.00209205020920502,0,0,0,0,0,0,0.0251046025104603,0.106694560669456,0.0711297071129707,0.0188284518828452,0.0104602510460251,0.00209205020920502,0.00209205020920502,0.00209205020920502,0.00418410041841004,0,0.00209205020920502,0.00209205020920502,0.00418410041841004,0.0606694560669456,0.0606694560669456,0.0230125523012552,0.0125523012552301,0.00418410041841004,0.00627615062761506,0,0.00418410041841004,0.00209205020920502,0,0.00209205020920502,0.0146443514644351,0.0104602510460251,0.00209205020920502,0.00627615062761506,0.00418410041841004,0,0,0,0,0.00209205020920502,0.00209205020920502,0,0,0,0,0,0,0,0
"CAL-148",0.154716981132075,0.0716981132075472,0.294339622641509,0.0641509433962264,0.0113207547169811,0.0113207547169811,0.00754716981132075,0,0,0,0,0,0,0,0,0.294339622641509,0.0566037735849057,0.030188679245283,0.00377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
