"","22RV1","647-V","A549","BFTC-905","BT-20","BT-474","BT-549","C32","CAL-120","CAL-148","CAL-51","CAMA-1","COLO-205","Calu-3","Calu-6","DMS-114","DU-4475","EVSA-T","HCC1143","HCC1187","HCC1395","HCC1419","HCC1428","HCC1500","HCC1569","HCC1806","HCC1937","HCC1954","HCC38","HCC70","HCT-116","HT-1197","HT-1376","HT-29","Hs-578-T","J82","KATOIII","KMS-11","KU-19-19","LS-513","M14","MCF7","MDA-MB-157","MDA-MB-175-VII","MDA-MB-231","MDA-MB-361","MDA-MB-415","MDA-MB-436","MDA-MB-453","MDA-MB-468","MFM-223","NCI-H1299","NCI-H1437","NCI-H1563","NCI-H1703","NCI-H1793","NCI-H1975","NCI-H2085","NCI-H2170","NCI-H2228","NCI-H226","NCI-H2291","NCI-H23","NCI-H3122","NCI-H358","NCI-H520","NCI-H522","NCI-H747","NCI-H838","NCI-SNU-16","RKO","RT4","SW48","SW620","SW780","SW837","SW900","SW948","T-24","T47D","TCCSUP","UACC-812","UM-UC-3","VCaP","VM-CUB-1"
"22RV1",1,0.875414384102789,0.774105430855709,0.751382019802173,0.807801230344294,0.761712924496271,0.600117948432073,0.954229230143664,0.5977956714933,0.975283668877436,0.82647702237582,0.953534059282248,0.65625612673333,0.671689180122873,0.807235400185885,0.571378810732459,0.438550185164913,0.807748089164497,0.370184664171906,0.701811508877614,0.801624554541851,0.361837413465321,0.511880780008231,0.915063199444148,0.758023997260254,0.810852903089927,0.289732088486575,0.143422402465601,0.932464837760621,0.443805945997617,0.97623982842918,0.577838582064372,0.183568311722621,0.720932842770009,0.848212818064341,0.556977954183286,0.588852991553294,0.649545292331234,0.547073926816013,0.953992330485849,0.696177310313296,0.607901108244907,0.793018743098289,0.448092407656396,0.666249155176179,0.8171748309862,0.83687553091945,0.602603364090041,0.191470599706997,0.757799431124584,0.846346543919834,0.326232810939198,0.671385787389652,0.380265752821011,0.909363520195236,0.638401608232389,0.799752581328864,0.811811407071261,0.183239062996397,0.497238218502948,0.94540324622114,0.76579117330062,0.659740808877669,0.453685660266517,0.752487921336305,0.122989920912608,0.770880864073168,0.675154180163869,0.89889641344667,0.388701405375426,0.901104228184139,0.354809696922682,0.942155832297785,0.914217692961994,0.401212936010288,0.946937521996428,0.762287084432044,0.813298493824588,0.239584086971858,0.663532543854159,0.659553518355311,0.686916990883236,0.631401384147317,0.556117916305575,0.902606853312055
"647-V",0.875414384102789,1,0.949661719433191,0.946860602351022,0.944109038901586,0.906452592638772,0.804876238770288,0.780175423757086,0.875641468946357,0.831805991037862,0.636926000412516,0.850104299389547,0.912863671253986,0.9174046953345,0.960929859253041,0.871951471505102,0.626597740616434,0.951737818465108,0.694077897523477,0.880204620917565,0.965472754492832,0.667961491058108,0.746364970701657,0.76948546766895,0.950479876211048,0.869504294373651,0.53587494401127,0.429804732577739,0.840886455628605,0.711095250260358,0.79708027677357,0.824094166697453,0.339378397280132,0.927606394599662,0.964260426083147,0.79014569379812,0.86432854051774,0.864878225175653,0.783564474500561,0.860076857580119,0.929511370685814,0.858499523996115,0.938240482294738,0.725377395212599,0.917310508022551,0.928944186709079,0.928466247663785,0.787815938658745,0.402039758000989,0.925611007195806,0.919476908511061,0.561245561493912,0.904511177145862,0.689953045613408,0.953276788994393,0.838489749950834,0.946448337170045,0.976156955782049,0.317070985831161,0.748212843017417,0.732165872623112,0.925886279247183,0.895379005241014,0.717686699626265,0.859007475151112,0.300891229164934,0.950346201759667,0.835638883144404,0.947466687209118,0.661177959230937,0.714767483022592,0.60973776577615,0.747683231339505,0.882549953394902,0.657310597782115,0.782326838622662,0.952084093130236,0.958021930194312,0.568357375219056,0.871882979057557,0.906349204074349,0.908521142170095,0.856889241924755,0.801249503080246,0.75913983107131
"A549",0.774105430855709,0.949661719433191,1,0.948468856705535,0.900944846681596,0.827590286234998,0.897830873423966,0.639897091866582,0.881104117846005,0.717114146686452,0.633771970412076,0.727678872531458,0.958932919780273,0.902088294701116,0.918099404752427,0.891537656455384,0.635053006272628,0.872008028543935,0.764639954777037,0.912146093469743,0.954975159587443,0.701804874497673,0.808149441719891,0.66884751203086,0.927727246370237,0.790345984128026,0.517667312382065,0.469550957712046,0.746567070808395,0.827983336252989,0.688555104397331,0.841757945985622,0.458504102933929,0.908235144115089,0.970178337581695,0.822042216699911,0.907313041093534,0.875148186320895,0.81023724154742,0.81290806876257,0.940103150999603,0.832496314845121,0.955994090741291,0.809791477208813,0.946541849804329,0.868137401715877,0.890326581776594,0.805659477532725,0.472576284162506,0.89133635550814,0.798498135623207,0.67314205216869,0.949158435991712,0.760096156610593,0.914473260881946,0.822086253366724,0.925007076475418,0.938564790534998,0.460289060842327,0.824550844233797,0.609904383083365,0.966792497822489,0.951574565759857,0.759774176988114,0.794524652205577,0.387201700400613,0.95072940930952,0.942161355284708,0.891894504006743,0.6837212897171,0.631903519962185,0.716938822794764,0.663123062999085,0.831841836285696,0.730909701568292,0.69334395215729,0.951952690207102,0.969715050773492,0.682302345179452,0.908657036334295,0.969643497296178,0.879843030789059,0.869164933504346,0.775650342965977,0.622518172486438
"BFTC-905",0.751382019802173,0.946860602351022,0.948468856705535,1,0.938949933114971,0.845733423573177,0.861166504605065,0.658677017525888,0.93440713912489,0.691436611467684,0.543096957236712,0.745386771496153,0.959634976971895,0.91429039298682,0.914774212660506,0.929089285824394,0.596327500471612,0.902982059903515,0.806025052941831,0.880932303737439,0.958498257259264,0.721567933335857,0.79969458194841,0.683501158642487,0.940206489900797,0.854926513151705,0.478362607466908,0.470791223450062,0.768993003821389,0.786516993539138,0.673732931949848,0.83908429815305,0.414881294055208,0.926301401105034,0.945864379631569,0.824629735799702,0.911146930515965,0.892837746933925,0.780081206563004,0.780699804700989,0.955218121842701,0.889334215464636,0.928348245009439,0.806302133190769,0.944756969160296,0.892461553327481,0.878373646961623,0.802148605743668,0.478652881100071,0.833513402984409,0.838301453385866,0.65094324583067,0.898306828147712,0.754612079657866,0.872245502455075,0.806755998162475,0.92308748302488,0.958700453126062,0.368338597168594,0.801971624744237,0.612722081386033,0.929638896157634,0.895964656622144,0.736557610115458,0.802034268288638,0.410302564487654,0.955543706789228,0.856346684421788,0.896920814379079,0.657479445541018,0.616321417755068,0.674059754912583,0.634450359935148,0.82414361740941,0.715102818934835,0.683213131989753,0.994348043757189,0.948065627809011,0.742908317988505,0.877774330857387,0.941386824609972,0.93828331927899,0.885059061122201,0.803490899366016,0.664430319050774
"BT-20",0.807801230344294,0.944109038901586,0.900944846681596,0.938949933114971,1,0.801598724809056,0.85540698041796,0.766649071249746,0.893702043653193,0.76658882988996,0.640592202278805,0.805918908269572,0.874166137195111,0.887898549271381,0.89779278147046,0.839728707585235,0.606546683330967,0.900255328340111,0.722600032906295,0.903911512330159,0.963687932253673,0.617459508346289,0.734865801829722,0.805469760867042,0.946990836831648,0.952181243679898,0.4948092695166,0.394425360735581,0.875115013862529,0.701595344033666,0.750535231501848,0.737165669849981,0.341742691794415,0.864851828160206,0.90304510940396,0.711315257725413,0.835975549018821,0.809029157059079,0.690096220456387,0.819282305774654,0.864288621574542,0.810954339905753,0.945069137588465,0.682820227568379,0.86353667161719,0.845865068501176,0.855646495016399,0.798072699423063,0.38918690660354,0.876686693067685,0.884151059134833,0.589174666805814,0.874470550966843,0.646490340906115,0.917985849906421,0.737368163271166,0.879033801388329,0.905650815778521,0.302375370790164,0.736526204022563,0.713209734981358,0.947993023737314,0.860437131405553,0.708618788381392,0.720839485919837,0.328309604000591,0.907607066894988,0.826896685012447,0.97514157258238,0.588881997075081,0.668056684279791,0.577893944745443,0.707853909109673,0.921044426372729,0.637822645072152,0.804468286576487,0.939343466947873,0.914789243721916,0.573321144894607,0.865987040849833,0.889203143609207,0.847832122789236,0.878704798163043,0.718514424255663,0.812576931266578
"BT-474",0.761712924496271,0.906452592638772,0.827590286234998,0.845733423573177,0.801598724809056,1,0.589727085793815,0.694801536087546,0.819652262602715,0.684052660386715,0.461191493743881,0.797967323313912,0.86440666136197,0.910823923414791,0.917993465420902,0.872857216763738,0.660531350361864,0.965863950631673,0.662724398630254,0.710294948082581,0.85885981510652,0.79257590729942,0.726372090790079,0.657410387942707,0.910850576426845,0.776401599028108,0.674355768341287,0.604998930378885,0.714744202042497,0.678180347413142,0.659444814704698,0.909278571675105,0.320766524048109,0.959713777615625,0.857215381366065,0.826279012740592,0.851274786172127,0.918456413515536,0.907987800719413,0.724661077433487,0.920089145879219,0.928298177300311,0.789746244312162,0.738909260039175,0.89299486502594,0.978431614803951,0.923486767137998,0.688457396561529,0.450334025676669,0.873845567562479,0.938719787196482,0.512336494114999,0.847312651385046,0.744313010997931,0.838261229539705,0.93690107257051,0.941643554308643,0.912657886682828,0.205136936973696,0.715333643576216,0.590598939247664,0.781447973724809,0.8302862264503,0.727255346625745,0.960122240534731,0.302503185130117,0.893605347575165,0.687989604039844,0.776609296107414,0.811795615637633,0.642647271327186,0.617162622187412,0.603423672884594,0.670434182123249,0.683455078463421,0.626099309208995,0.863241340694901,0.831573139180864,0.543252255394035,0.771727773758938,0.771956114449547,0.929590626955093,0.797751930843221,0.940217888585009,0.626824738681919
"BT-549",0.600117948432073,0.804876238770288,0.897830873423966,0.861166504605065,0.85540698041796,0.589727085793815,1,0.510491380624303,0.865061212795327,0.601673155880329,0.615842434149436,0.561503787848482,0.845658323412181,0.79823230810413,0.71925663099816,0.796252508805745,0.616774868036366,0.688821797397651,0.838522363544968,0.913292131142361,0.873886702658347,0.619955968268087,0.786512082885428,0.574194925425834,0.820456524834737,0.7295973734963,0.481624563243525,0.432638107567069,0.624809626414343,0.822100771010972,0.57520263593823,0.674480357978594,0.519976032699333,0.71084563090419,0.807727879380301,0.76213348752548,0.827352359883656,0.745269438756716,0.626923526538181,0.701277448875515,0.80155640563103,0.691536172684171,0.897775452682406,0.753445746897267,0.80261884978515,0.653371102812502,0.749394811902957,0.804363175895719,0.543354843914684,0.775132396153453,0.618109381516243,0.744865947753742,0.856013482251462,0.733777768442667,0.750672660462161,0.63072678255889,0.783722683634138,0.801625881630709,0.563040376844913,0.829463358902535,0.529017613627004,0.926710677533499,0.900250197582195,0.761682912626976,0.505142365109425,0.487182337064891,0.787846425477952,0.932419431764095,0.823354586920904,0.576859865145305,0.522274609201873,0.753622463946256,0.584714821147195,0.781918081294426,0.73904017344859,0.613351650149163,0.851889664905815,0.901165586749048,0.761420633949963,0.884248000407468,0.928164726645317,0.693741374782095,0.877284211557237,0.593093083610217,0.518178744215582
"C32",0.954229230143664,0.780175423757086,0.639897091866582,0.658677017525888,0.766649071249746,0.694801536087546,0.510491380624303,1,0.524558466499,0.936305411895375,0.849177517336965,0.974423385113771,0.537337413031258,0.610484074509418,0.680069266293184,0.47417316803817,0.365632440930483,0.742466981129654,0.310608303944101,0.583024823819053,0.708912237313347,0.288709223809445,0.402030371233899,0.972169697383119,0.706430810539592,0.843224671736029,0.296569610943458,0.112863832083836,0.944188011355731,0.354605306829594,0.970179543324055,0.486204273285338,0.127139197040219,0.635006284537162,0.719361186169778,0.476979827748172,0.502499621496991,0.578689433933776,0.463324432782595,0.932237470976032,0.586816427024419,0.538368568181527,0.681844966697213,0.33706768415428,0.556626002401285,0.760625823006044,0.789707616727732,0.486000210785406,0.131420525363739,0.658032377312637,0.824331347139857,0.251763376406876,0.54325673697339,0.293998090845852,0.832552202218692,0.545338755942858,0.736456308097319,0.719208770349874,0.097946904207397,0.39081207501478,0.974998455263903,0.685937198074135,0.565010665304269,0.415380783393567,0.678259723701566,0.0842385658019494,0.644905826241493,0.559164105220191,0.848172008489205,0.328105561446012,0.9460846119379,0.268019363140501,0.953597156529483,0.868542759932403,0.317547052802907,0.969338972014925,0.669018482407305,0.708254933145824,0.16946990815791,0.544425891493637,0.522102850378509,0.584454252844013,0.608534420752223,0.504118610357074,0.933008904736027
"CAL-120",0.5977956714933,0.875641468946357,0.881104117846005,0.93440713912489,0.893702043653193,0.819652262602715,0.865061212795327,0.524558466499,1,0.564994109783737,0.40139447726623,0.61353371300504,0.922066980290516,0.936717471539168,0.843738744459373,0.947841507199064,0.705898675015785,0.884172061113596,0.928906418201986,0.875087125619617,0.917066955799826,0.806106698307985,0.873887928097784,0.543133714368901,0.917810300787644,0.797834115714166,0.676480247526827,0.689426006649183,0.62129854123956,0.835492390285583,0.522473264456882,0.845254078278452,0.558374390216391,0.881038999604366,0.830303964397007,0.899375294162354,0.943422423041254,0.895541668143589,0.807544531400244,0.631549330337942,0.919228049475759,0.911116762374249,0.882269337971584,0.863191095674565,0.899445210500287,0.832688051789903,0.824619377596587,0.848698043363911,0.619296209334251,0.851351749939596,0.813160822734243,0.788196805549131,0.902250656810251,0.872025514971094,0.760768110666609,0.810519684692313,0.888697861403939,0.900684731431567,0.436479644900656,0.897898725954125,0.471452544111608,0.874702105207331,0.910391787631413,0.866817437992744,0.710798668291198,0.59030635453681,0.880676166820831,0.812186861463388,0.808519917504398,0.777045097069243,0.473582285120855,0.763065099610698,0.486915133479005,0.702336627216521,0.80282259187805,0.537637840636035,0.932576627246975,0.897299863089793,0.813098888298095,0.886361831258755,0.909814132044475,0.890467701289141,0.935204435334185,0.842913976042229,0.530524126178832
"CAL-148",0.975283668877436,0.831805991037862,0.717114146686452,0.691436611467684,0.76658882988996,0.684052660386715,0.601673155880329,0.936305411895375,0.564994109783737,1,0.824769055603588,0.921039131329386,0.573285487386319,0.619330801957763,0.731333426736539,0.50403229726441,0.413818834061934,0.744709467507094,0.353742144498491,0.678932909415948,0.750497039918652,0.289288568028852,0.460099292677666,0.875650984749629,0.691939080892709,0.752635754720995,0.284442870815607,0.0935137521167453,0.875837982933423,0.387242400030811,0.983015083248395,0.486058573906084,0.172175513478357,0.621741110087627,0.781777590401679,0.526830956731633,0.525421565294182,0.565050887844203,0.443223843716153,0.930935223828611,0.623015963705864,0.524497359199232,0.746181734174558,0.388907256923434,0.582191606976201,0.734004668563828,0.79340881178003,0.576084710266876,0.182901055257975,0.729591794027405,0.788090762561921,0.308464512924403,0.605494706720984,0.32476710591669,0.847140966497101,0.552917415096724,0.738776180485826,0.774937874627489,0.185478095144782,0.467892772496251,0.962055228883075,0.71006155443779,0.618860054954554,0.441278608700676,0.650902361472865,0.122076914369118,0.682376670897797,0.626874378025143,0.868969261552608,0.31845015315794,0.889147965186095,0.317060369254314,0.956506024061327,0.894523231031982,0.350255436892654,0.926588231252579,0.698421719860281,0.790486488670316,0.211666993570474,0.625716575230327,0.614986968274093,0.601548767457896,0.606076577039947,0.466925910317342,0.864930457119334
