"","22RV1","647-V","A549","BFTC-905","BT-20","BT-474","BT-549","C32","CAL-120","CAL-148","CAL-51","Calu-3","Calu-6","CAMA-1","COLO-205","DMS-114","DU-4475","EVSA-T","HCC1143","HCC1187","HCC1395","HCC1419","HCC1428","HCC1500","HCC1569","HCC1806","HCC1937","HCC1954","HCC38","HCC70","HCT-116","Hs-578-T","HT-1197","HT-1376","HT-29","J82","KATOIII","KMS-11","KU-19-19","LS-513","M14","MCF7","MDA-MB-157","MDA-MB-175-VII","MDA-MB-231","MDA-MB-361","MDA-MB-415","MDA-MB-436","MDA-MB-453","MDA-MB-468","MFM-223","NCI-H1299","NCI-H1437","NCI-H1563","NCI-H1703","NCI-H1793","NCI-H1975","NCI-H2085","NCI-H2170","NCI-H2228","NCI-H226","NCI-H2291","NCI-H23","NCI-H3122","NCI-H358","NCI-H520","NCI-H522","NCI-H747","NCI-H838","NCI-SNU-16","RKO","RT4","SW48","SW620","SW780","SW837","SW900","SW948","T-24","T47D","TCCSUP","UACC-812","UM-UC-3","VCaP","VM-CUB-1"
"22RV1",1,0.887307655191813,0.798658584662912,0.778680442322817,0.828319009026704,0.787489315758516,0.642800430294143,0.958720990841396,0.647541416477321,0.977148010159677,0.839516369426585,0.709988350157884,0.827368953713988,0.958086006796119,0.696051607343205,0.622423915671435,0.500061346770313,0.82751829897104,0.454931274465981,0.733764226899688,0.822864029007498,0.448875826163598,0.57333956002541,0.923290182362807,0.784404150444784,0.830970765483809,0.391596517539093,0.28607678703254,0.938867972479203,0.521369170886138,0.977869662422942,0.863664241845157,0.628050771939324,0.312049649731275,0.751835230945436,0.612022072084696,0.63921289678713,0.690136578996717,0.601544881310846,0.958417756069474,0.729659452976678,0.654329341791897,0.815220933767551,0.521139715587949,0.702308584429138,0.836212969850968,0.851192531060296,0.646917289187477,0.292244858242933,0.78445167905684,0.861504241540098,0.424271540706995,0.709008054925276,0.466486613685979,0.917731989207769,0.67979283972258,0.820389550622286,0.831829270461652,0.309624219264085,0.560552730763066,0.950018037539425,0.791244082082344,0.699454271018047,0.527545182509169,0.777676679317883,0.24350695900987,0.795628872050547,0.711209327303635,0.909119592608447,0.464907439520125,0.910418432941234,0.431018753864495,0.946803389723388,0.922521095624317,0.466466617366321,0.951620341042457,0.788145124447875,0.833111944359425,0.317488732848904,0.700326475197271,0.696304358630277,0.723082541787618,0.675407041540226,0.609901475683505,0.909940915481248
"647-V",0.887307655191813,1,0.956990178625027,0.954645935158209,0.952171318939819,0.921436015834869,0.830462305214319,0.805021254580303,0.895470728284364,0.845372083137895,0.668141173980677,0.930560573648228,0.964966756549181,0.867918282427421,0.926516650340644,0.892183737801174,0.678096503432884,0.95928775933528,0.7470374889542,0.895910562490256,0.970622873618583,0.726214365584028,0.788805062184363,0.794807943266003,0.958185374319868,0.889040980235541,0.621231093368121,0.546538271286783,0.856387946931918,0.762607684006391,0.81403630351633,0.966918369526488,0.851936495252136,0.471849607123729,0.93816877057051,0.825133574302031,0.886497307229796,0.885999892068063,0.818049778108789,0.877271953021968,0.939383628863917,0.88099248224925,0.946800585090526,0.772828183169574,0.928051110971447,0.940027936847445,0.939548814170178,0.818117684472934,0.496873776884519,0.936978282232235,0.932112648452272,0.64335382831973,0.919281535535548,0.745054161064138,0.960050907697409,0.862977698388796,0.954815119313359,0.979642045082764,0.452148564751241,0.790147281566796,0.757915991438026,0.936459830334973,0.912073260089711,0.767376704281987,0.875262910155878,0.422804633158171,0.957112383978495,0.859288134755583,0.953721500672681,0.715897616380197,0.745570722557936,0.668706692328125,0.770498447050558,0.893621605352279,0.704096251986035,0.803063562196102,0.958821493348859,0.964290272136048,0.622887912753666,0.889499701182693,0.918566004590868,0.92315863037025,0.880216863038681,0.833320632940325,0.778238709446854
"A549",0.798658584662912,0.956990178625027,1,0.955830854078551,0.914967387447886,0.854099899698144,0.910727832855255,0.681698854335374,0.89791384879209,0.744266328851732,0.665240557884194,0.916582832499147,0.928187005243239,0.761022250304039,0.964831803017333,0.907714832163779,0.683804728077002,0.891319187246603,0.802293007831577,0.923473249811761,0.961471679260781,0.750826271093671,0.838050791591265,0.706153056877277,0.938188869602031,0.820624473271187,0.602286691608936,0.571240846238108,0.773630073943339,0.85201220108739,0.718144713812337,0.972769815594311,0.865570983844487,0.559723817969206,0.921281732696957,0.84964617368135,0.920694894764355,0.893719202784776,0.839008815653103,0.836151951577775,0.94838398079662,0.857828657628018,0.962038605127332,0.839463644284256,0.953406100532589,0.887756764319595,0.90649124873129,0.832580985618215,0.552954444286121,0.907247345944861,0.828799134044301,0.728592247650617,0.956565317726425,0.798635789696786,0.926637703697156,0.848031304843828,0.935896071020054,0.9473857243602,0.559893968531042,0.8516926926749,0.649553212469651,0.971432106596922,0.958410375772702,0.798384941677624,0.819005487486955,0.489450813752339,0.957474020919791,0.95022556595085,0.905802618271869,0.732549489197641,0.672171832207527,0.758109406612175,0.695616492064389,0.849550543960735,0.766474711611632,0.724553267373218,0.958665929878056,0.974077243843698,0.720963233402493,0.920945300100459,0.973382886243738,0.89793777284766,0.888972548663791,0.810140765771821,0.656916248261664
"BFTC-905",0.778680442322817,0.954645935158209,0.955830854078551,1,0.947614294578851,0.869449283505597,0.878903636583348,0.698263950119998,0.941788437535972,0.721498352860552,0.584255978224516,0.926914618498244,0.925289487053028,0.776540235756172,0.965476576750866,0.939578601238277,0.650431208135009,0.917514808559701,0.836583260030682,0.89643478151381,0.964510499248044,0.767274916601396,0.831168240714743,0.719101391597049,0.948761146312578,0.875943244077203,0.570824960001823,0.57265698331075,0.793411312528744,0.819256238468163,0.704995744322429,0.951493380393199,0.863414397472389,0.525833364310561,0.936810113808861,0.851957819570901,0.924007894391694,0.908813147455418,0.813649339816489,0.80813676037214,0.961403825431032,0.905972155456494,0.938244375885113,0.836789772254728,0.951853313167407,0.908486701260055,0.896676509148385,0.829630958584594,0.558363334109938,0.85802963552607,0.862648652090453,0.711136521447685,0.913367420644113,0.794432920723179,0.890470819709579,0.835038447865673,0.934373760234299,0.964650061348245,0.487419192279083,0.83299996757193,0.65210837521546,0.939513372998144,0.911601142409564,0.77978604035686,0.82559533193097,0.508933367128378,0.961626220417769,0.876469216356186,0.910170830315389,0.710619850966072,0.658498744741247,0.721626473825281,0.670182151252037,0.842766435069682,0.752870285227332,0.715615927479985,0.995112260477019,0.955591729233298,0.773997551933252,0.894302633102547,0.948901129685665,0.947073151008575,0.902394909497218,0.83373288862872,0.694300007537215
"BT-20",0.828319009026704,0.952171318939819,0.914967387447886,0.947614294578851,1,0.832005777537249,0.873833819848078,0.792963395086866,0.907928050303841,0.788197512040871,0.671311960457966,0.904464528046776,0.910529039175163,0.829298114376995,0.892756248110884,0.86363694956345,0.658847067826075,0.914940766170019,0.767213927970848,0.916316785054472,0.968873312159405,0.681090966990964,0.776588205253373,0.826369501287631,0.954221539540753,0.959016413494824,0.583079962593799,0.512453388921573,0.887047040804128,0.750745779903529,0.773239263115189,0.91415882722027,0.77672179368098,0.466897538685904,0.883950889823821,0.757040181420075,0.860952716403161,0.837364758567787,0.737090649650521,0.84164700355787,0.883017241012911,0.839374023055863,0.95260560234,0.73457747728832,0.881471032775414,0.868655455417754,0.877339980834155,0.825898175498657,0.481757357800869,0.894615323533431,0.901251588684388,0.660698169691461,0.892865469576819,0.705887836017926,0.929579693174135,0.775443701898905,0.897044261346074,0.919109561085697,0.433726334253944,0.77782936827883,0.741143002003073,0.955237990588802,0.881330675034194,0.756332387197932,0.754455518443407,0.439927413927846,0.920264303400463,0.850953502799645,0.978057973718517,0.65214213366364,0.70396686702548,0.63892690706301,0.735342179586262,0.928147643653046,0.685563870634149,0.822971277802768,0.947785574739414,0.927010836022085,0.625440634280306,0.884017500212942,0.903672015291064,0.870822783193533,0.89672146669774,0.761665602237206,0.826503321316718
"BT-474",0.787489315758516,0.921436015834869,0.854099899698144,0.869449283505597,0.832005777537249,1,0.647972321324444,0.731261424326084,0.854248800545078,0.714897909225381,0.514094404832251,0.926854843887171,0.926617420074196,0.822572057515072,0.887182780869005,0.894477811967546,0.709790463014181,0.971807996107296,0.727469424979597,0.751330099687515,0.880965884603342,0.832523254606183,0.776784089483334,0.697864417973512,0.926687824824485,0.811885965646342,0.739641487098522,0.690989557180966,0.74594733659659,0.744442991768005,0.692518127735669,0.873102892528943,0.924657405781721,0.470085564388934,0.964891129040855,0.858363196017534,0.878659424061768,0.931928465406846,0.923753183595393,0.761152881997452,0.930892561813647,0.940552216123249,0.820977612081381,0.789154781282728,0.906551869719825,0.981724107129515,0.937562260973222,0.735690547470077,0.544478041850019,0.894092485796514,0.94890414192951,0.614070671617354,0.872423178047512,0.794896155023571,0.862988800277998,0.946500249935652,0.952017268509724,0.925741921733275,0.377776083006839,0.767435674253082,0.634307112865131,0.814601314335991,0.859906537264442,0.781284869872241,0.960715171113928,0.434429787027255,0.90838262456796,0.735813713929095,0.807286980003597,0.844700439170031,0.683315140327284,0.679157224700627,0.643916413565251,0.709027869835863,0.728723275627494,0.666487796282136,0.883353226915274,0.858128505434165,0.604265685169228,0.804799926629188,0.803906650037139,0.942191884609515,0.834373435032436,0.950684248100059,0.661026860355453
"BT-549",0.642800430294143,0.830462305214319,0.910727832855255,0.878903636583348,0.873833819848078,0.647972321324444,1,0.564117107111422,0.879688087056281,0.639939262859258,0.64827586925297,0.825123653253551,0.752823617504648,0.612030275477228,0.865691926476725,0.823314357925572,0.663981900286932,0.731727730347232,0.858092796750935,0.923865365238408,0.889991105693663,0.676043431675327,0.815121148421547,0.619828304100877,0.844050928408465,0.764967803685311,0.563298909401679,0.530139617528915,0.664002739573235,0.840152397406632,0.615376351244809,0.82977083606692,0.718899721454334,0.59728411414477,0.748272526754252,0.794540222043994,0.849584980243731,0.77937313356404,0.678365136795701,0.736379001227359,0.826702528373621,0.733692926226173,0.910588265654291,0.787034868723266,0.826865712724874,0.700325009602302,0.783799966136665,0.829117973480613,0.606429824402081,0.804724042497638,0.670302594499226,0.778327789546638,0.874596965427899,0.770204728487248,0.782882948779002,0.67972561481633,0.812782146556145,0.827298380562594,0.631359656707689,0.851468912033954,0.575044014852099,0.935834812455585,0.912247809536501,0.793189547186425,0.561579422583533,0.563808302162003,0.81463926701538,0.940808268799934,0.84481099919505,0.636062791726336,0.572081723743911,0.785932630308389,0.624000965440712,0.804926589060695,0.770959190494596,0.651738088185517,0.870678502874286,0.913619487179651,0.788592199307908,0.898636907364626,0.936955898619346,0.73631087609503,0.892125003398825,0.650071330482276,0.561562436578862
"C32",0.958720990841396,0.805021254580303,0.681698854335374,0.698263950119998,0.792963395086866,0.731261424326084,0.564117107111422,1,0.58787158705832,0.941577162844945,0.860280086731992,0.658871801352465,0.714766757560873,0.976994400987922,0.594050657962633,0.53962885334448,0.436834683964217,0.772279817240887,0.406896538617934,0.62918691833097,0.742557504947644,0.389745894792237,0.481390080108817,0.974904130174297,0.741230337685864,0.860200209155049,0.399848527451086,0.265306679339764,0.949530550978268,0.451078734118141,0.972174915361845,0.748832973263866,0.55008282573636,0.269621018008472,0.677353493607116,0.545550085719431,0.56719744025598,0.629836075480906,0.530594521477912,0.939278715323262,0.634231287649903,0.595570676991001,0.717955092586846,0.429762075794502,0.606054076878238,0.7880122724055,0.812202813036514,0.545255462761851,0.242404851360636,0.698354031739648,0.843329054960736,0.365844910195261,0.598597082830378,0.397194758168877,0.850891628215875,0.599654377887837,0.767073355739416,0.751474824390376,0.24333765220205,0.471380878758662,0.97682138758598,0.721818645536756,0.619012061049083,0.497939412539255,0.711814606038383,0.213274738779219,0.685297646047534,0.610093639797315,0.86452328190437,0.414491202965895,0.951186380656664,0.35686333466359,0.957104418227036,0.881514510586456,0.393693042437218,0.971890654918558,0.706902070337658,0.741978827345775,0.25635756639098,0.595980911553256,0.575345888194245,0.636412147982434,0.657341673798998,0.566629538319903,0.937589370480177
"CAL-120",0.647541416477321,0.895470728284364,0.89791384879209,0.941788437535972,0.907928050303841,0.854248800545078,0.879688087056281,0.58787158705832,1,0.612263571069956,0.464642104139961,0.948274338617162,0.861546599243993,0.666863415918239,0.934337088412831,0.955605889002156,0.749358948170121,0.905104147242401,0.943926998810167,0.888892809351778,0.928211340353156,0.8478435890702,0.89893531898405,0.601761541432263,0.932698610386085,0.830542493181044,0.749094963692926,0.765568247283567,0.665860076698031,0.873253658113322,0.574818439717572,0.847845702782205,0.872535016211293,0.66484244397064,0.897758584045769,0.919402260559589,0.95441267030708,0.912606230550591,0.842410646114317,0.683602691005717,0.927945726346285,0.92618108965278,0.897355174952536,0.892375456107402,0.909506296863281,0.861505099708639,0.859929090706887,0.8697471306254,0.689467312044511,0.875398499389362,0.846125195194598,0.836805535614965,0.917512481716369,0.900455462887559,0.799089997684069,0.841619291228104,0.909323790329142,0.914426379325306,0.570653593325591,0.917829882156843,0.53354541262835,0.891795665920685,0.926091037672294,0.896363891992596,0.747318579532501,0.675156197481209,0.895886958484181,0.840191740380508,0.833358938171662,0.818587207105783,0.540645982615913,0.802601746813849,0.544712240322333,0.73571805376594,0.829127303573648,0.591451731305166,0.939347900065701,0.912028822480732,0.833007322828907,0.899686345968451,0.917979859777241,0.910998913765361,0.947294148971928,0.871910554869641,0.577698302250173
"CAL-148",0.977148010159677,0.845372083137895,0.744266328851732,0.721498352860552,0.788197512040871,0.714897909225381,0.639939262859258,0.941577162844945,0.612263571069956,1,0.837627077421952,0.658722000788986,0.756407812133646,0.927438936809475,0.617910755686007,0.557397648504128,0.472250846974904,0.767944058581156,0.432106727669439,0.709592339169747,0.773828796113803,0.378229361621132,0.521411512707372,0.886412661838665,0.721828400160713,0.775730906811801,0.377051969902904,0.233400971897132,0.886502169865571,0.46501412640604,0.984374420813708,0.801574173719041,0.541664657867923,0.290861211779868,0.659603309301011,0.579047072893808,0.577776948653881,0.610595842939058,0.504415236183336,0.936177459952615,0.66034618426042,0.575520376453364,0.770070406694674,0.46242088091077,0.62301180923316,0.759029859556354,0.808694731410783,0.618491012450995,0.276013828491992,0.755281236993938,0.806409824843352,0.39922930746658,0.645965662064533,0.410477187484995,0.859675093722666,0.599204266739851,0.762551774441693,0.795518507276975,0.299823017808914,0.527915647546694,0.965177047769101,0.737944448006,0.658168848123008,0.508241378546844,0.683091247754545,0.232445560985564,0.713175497357523,0.663890937198505,0.880091187201892,0.396068647305603,0.898621047767254,0.390585692147946,0.960007161517749,0.903595499708703,0.41491161286142,0.932719029149846,0.727583461063396,0.809220517525945,0.28577915968746,0.662362664643723,0.652351762193039,0.643263079737591,0.647261507685779,0.525742735569492,0.875225134434573
