,ADAM17.PIK3C,ADAM17.AKT,ADAM17.MTOR_1,ADAM17.BCL2_BCL2L1,ADAM17.FGFR,ADAM17.MAP2K_1,ADAM17.PIK3CB_PIK3CD,AKT.FGFR,AKT.ERBB,AKT.Cisplatin,AKT.ATR_4,AKT.HDAC_4,AKT.TNF,AKT.PIK3CA_4,AKT.PIK3C_2,AKT.AKT_1,AKT.ALK_IGFR,AKT.BCL2L1,AKT.Chloroquine,AKT.CSNK2A1_2,AKT.EGFR,AKT.PIP5K1,AKT.TNKS_PARP6,AKT_1.BCL2_2,AKT_1.BCL2L1,AKT_1.EGFR,AKT_1.ESR1_1,AKT_1.Chloroquine,AKT_1.EGFR_2,AKT_1.PIK3C,AKT_1.ALK_IGFR,AKT_1.BCL2_BCL2L1,AKT_1.ESR1,AKT_1.PIK3C_2,AKT_1.PIK3CB_PIK3CD,AKT_SGK.BCL2_BCL2L1,AKT_SGK.FGFR,AKT_SGK.MAP2K_1,AKT_SGK.PIK3C,ALK.EGFR_2,ALK.PIK3C,ALK.CSNK2A1_2,ALK.MTOR_1,ALK_2.MTOR_1,ALK_2.PIK3CB,ALK_2.TOP2,ALK_IGFR.MTOR_1,ALK_IGFR.PIK3CB_PIK3CD,ATM.Gemcitabine,ATR_4.BCL2_BCL2L1,ATR_4.HDAC_4,ATR_4.IAP,ATR_4.CarboTaxol,ATR_4.MAP2K_1,ATR_4.MTOR_1,BCL2.CarboTaxol,BCL2.Topotecan,BCL2.CSNK2A1_2,BCL2.IGFR_4,BCL2.Oxaliplatin,BCL2.MAP2K_1,BCL2_2.Vinorelbine,BCL2_2.EGFR_2,BCL2_BCL2L1.FGFR,BCL2_BCL2L1.Gemcitabine,BCL2_BCL2L1.IAP,BCL2_BCL2L1.MAP2K_1,BCL2_BCL2L1.PIM1,BCL2_BCL2L1.PIK3CA_4,BCL2_BCL2L1.EGFR,BCL2_BCL2L1.FASN,BCL2_BCL2L1.SLC16A4,BCL2_BCL2L1_BCL2L2.FGFR,BCL2L1.CarboTaxol,BCL2L1.Vinorelbine,BCL2L1.MTOR_1,BCL2L1.PIK3C,BCL2L1.IAP,BRAF_M.MAP2K_1,BRAF_M2.MAP2K_3,BRAF_M2.MAP2K_1,Carboplatin.CSNK2A1_2,CarboTaxol.CSNK2A1_2,CHEK1.IAP,Chloroquine.PIK3C,Chloroquine.FGFR,Cisplatin.FGFR,Cisplatin.HDAC_4,Cisplatin.PIK3C,Cisplatin.PARP1,CSNK2A1_2.Gemcitabine,CSNK2A1_2.SYK,CSNK2A1_2.PIK3CA_3,CSNK2A1_2.TNFSF10,Doxorubicin.TOP2,Doxorubicin.IAP,EG5.PIK3CB_PIK3CD,EG5.PARP1,EG5.PIM1,EGFR.FGFR,EGFR.MAP2K_1,ERBB.FGFR,ERBB.IAP,ERBB.MTOR_1,ERBB.Gemcitabine,ERBB.MAP2K_1,ERBB.PIK3CA_4,ESR1.FGFR,ESR1.MTOR_1,ESR1.MAP2K_1,ESR1_1.PIK3C,ESR1_1.MTOR_1,ESR1_3.MTOR_1,FASN.MAP2K_1,FASN.MTOR_1,FGFR.MTOR_1,FGFR.SLC16A4,FGFR.TNKS_PARP6,FGFR.Proteasome_2,FGFR.PIK3C_MTOR,FGFR.MTOR_3,FGFR.WNT,Gemcitabine.PARP1,HDAC_4.PARP1,HSP90.PARP1,HSP90.PIK3C,HSP90.MAP2K_1,IAP.PIK3CA_3,IAP.PIK3CB,IAP.PARP1,IAP.PIK3C,IAP.IGFR_3,IAP.SN38,IAP.TOP2_2,IAP.Topotecan,IAP.Vinorelbine,IAP.IGFR_4,IAP.Oxaliplatin,IAP.PTK2,IAP.JAK,IAP.TNF,IGFR_3.MAP2K_1,IGFR_3.TKI,IGFR_4.MAP2K_1,JAK.MTOR,MAP2K_1.PIM1,MAP2K_1.MTOR_1,MAP2K_1.PIK3C,MAP2K_1.SLC16A4,MAP2K_1.TKI,MAP2K_1.PIP5K1,MAP2K_1.PTK2,MAP2K_3.PIK3C,MTOR_1.PIK3C,MTOR_1.PIK3CA_4,MTOR_1.TNKS_PARP6,MTOR_1.SLC16A4,PARP1.PIK3C,PARP1.PIK3CB_PIK3CD,PIK3C.PIM1,PIK3C.PIP5K1,PIK3C.TNFSF10,PIK3C_2.PIK3CA_4,PIK3CB.Topotecan,PIK3CB_PIK3CD.PIP5K1,PIK3CB_PIK3CD.TNKS_PARP6,PIK3CB_PIK3CD.SLC16A4,PIK3CB_PIK3CD.PIK3CB_PIK3CD,PIM1.TOP2_2
ADAM17.PIK3C,1,0.355371158,0.502570711,0.410347267,0.355371158,0.410347267,0.879315573,0,0,0,0,0,0,0.203069233,0.349010156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497416003,0,0,0,0.497416003,0.470571621,0,0,0,0.404735566,0,0.494845361,0,0,0,0.287183263,0,0,0.406138466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234484153,0,0,0,0,0,0,0,0.494845361,0,0,0,0,0,0,0,0.494845361,0,0,0,0.494845361,0,0,0,0.287183263,0,0,0,0.468968305,0,0,0,0,0,0,0,0,0,0.234484153,0,0,0,0.494845361,0,0,0,0,0,0,0,0,0.312004212,0,0,0,0,0,0.494845361,0,0.181630644,0.181630644,0,0.312004212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403347103,0,0,0,0,0.50934614,0.494845361,0.287183263,0,0,0.494845361,0.468968305,0.494845361,0.494845361,0.494845361,0.623852629,0.203069233,0.468968305,0.406138466,0.406138466,0.406138466,0
ADAM17.AKT,0.355371158,1,0.353553391,0.288675135,0.25,0.288675135,0.288675135,0.612372436,0.670820393,0.75,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17.MTOR_1,0.502570711,0.353553391,1,0.40824829,0.353553391,0.40824829,0.40824829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.40824829,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40824829,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0.353553391,0,0,0,0.316875111,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40824829,0,0.40824829,0,0,0,0,0,0,0.502570711,0.5,0.40824829,0.40824829,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17.BCL2_BCL2L1,0.410347267,0.288675135,0.40824829,1,0.288675135,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410347267,0,0,0,0,0,0,0,0.668945876,0,0,0,0.578828761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.40824829,0.288675135,0.40824829,0.40824829,0.40824829,0.333333333,0.333333333,0.40824829,0.516397779,0.471404521,0.471404521,0.577350269,0.666666667,0.666666667,0.666666667,0.666666667,0.577350269,0.23570226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17.FGFR,0.355371158,0.25,0.353553391,0.288675135,1,0.288675135,0.288675135,0.612372436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67219362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670820393,0,0,0,0,0,0,0,0,0.612372436,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.670820393,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.75,0.670820393,0.670820393,0.75,0.67219362,0.75,0.670820393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17.MAP2K_1,0.410347267,0.288675135,0.40824829,0.333333333,0.288675135,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578828761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.560112034,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.577350269,0,0,0,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,0.666666667,0.666666667,0.668945876,0.577350269,0.516397779,0.666666667,0.666666667,0.563162591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17.PIK3CB_PIK3CD,0.879315573,0.288675135,0.40824829,0.333333333,0.288675135,0.333333333,1,0,0,0,0,0,0,0,0.330759292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471404521,0,0,0,0.471404521,0.668945876,0,0,0,0.383570641,0,0.468968305,0,0,0,0.40824829,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468968305,0,0,0,0,0,0,0,0.468968305,0,0,0,0.468968305,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468968305,0,0,0,0,0,0,0,0,0.295688508,0,0,0,0,0,0.468968305,0,0,0.25819889,0,0.295688508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382254786,0,0,0,0,0.482710792,0.468968305,0,0,0,0.468968305,0.666666667,0.468968305,0.468968305,0.468968305,0.373408022,0.288675135,0.666666667,0.577350269,0.577350269,0.577350269,0
AKT.FGFR,0,0.612372436,0,0,0.612372436,0,0,1,0.547722558,0.612372436,0.612372436,0.621059003,0.612372436,0.612372436,0.613940614,0.707106781,0.547722558,0.612372436,0.612372436,0.612372436,0.612372436,0.612372436,0.547722558,0.497416003,0.497416003,0.497416003,0.497416003,0.497416003,0.497416003,0.5,0.405442427,0.405442427,0.497416003,0.5,0.405442427,0.350823208,0.862468816,0.350823208,0.406838102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547722558,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.612372436,0.612372436,0,0,0,0,0,0,0,0,0,0,0,0,0.612372436,0,0.547722558,0,0,0,0,0,0.612372436,0,0,0,0,0,0,0,0.612372436,0.547722558,0.547722558,0.612372436,0.548843792,0.612372436,0.547722558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.ERBB,0,0.670820393,0,0,0,0,0,0.547722558,1,0.670820393,0.670820393,0.680336051,0.670820393,0.670820393,0.672538246,0.774596669,0.6,0.670820393,0.670820393,0.670820393,0.894427191,0.670820393,0.6,0.544891931,0.544891931,0.862745557,0.544891931,0.544891931,0.862745557,0.547722558,0.444139926,0.444139926,0.544891931,0.547722558,0.444139926,0.384307569,0.343559001,0.384307569,0.445668812,0.316227766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766,0,0,0,0,0,0,0.25819889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606798,0.25819889,0.4,0.365148372,0.516397779,0.365148372,0.447213595,0.516397779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606798,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT.Cisplatin,0,0.75,0,0,0,0,0,0.612372436,0.670820393,1,0.75,0.760638829,0.75,0.75,0.751920618,0.866025404,0.670820393,0.75,0.75,0.75,0.75,0.75,0.670820393,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.609207699,0.612372436,0.496563533,0.496563533,0.609207699,0.612372436,0.496563533,0.429668924,0.38411064,0.429668924,0.498272879,0,0,0,0,0,0,0,0,0,0.223606798,0,0,0,0.353553391,0,0,0.353553391,0.25,0,0,0.353553391,0,0,0,0,0.204124145,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0.353553391,0.353553391,0,0,0,0.25,0.363803438,0.355371158,0.353553391,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0.188982237,0,0,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
